"","Suburb - Incident","sum(`Offence count`)"
"485","HUNTFIELD HEIGHTS",221
"486","HYDE PARK",60
"487","HYNAM",2
"488","INDULKANA",4
"489","INGLE FARM",642
"490","INGLEWOOD",9
"491","INGOMAR",3
"492","INKERMAN",3
"493","INMAN VALLEY",4
"494","INNAMINCKA",1
"495","INNESTON",2
"496","IRAN",1
"497","IRON BARON",1
"498","IRON KNOB",7
"499","IRONBANK",3
"500","ISLAND BEACH",2
"501","IWANTJA",125
"502","JABUK",2
"503","JAMES WELL",1
"504","JAMESTOWN",42
"505","JERICHO",4
"506","JERUSALEM",13
"507","JERVOIS",7
"508","JINDALEE",1
"509","JOANNA",8
"510","JOSLIN",41
"511","JULIA",1
"512","JUPITER CREEK",5
"513","KADINA",145
"514","KALANBI",1
"515","KALANGADOO",4
"516","KALBEEBA",6
"517","KALKA",9
"518","KALKAROO",1
"519","KALTJITI",80
"520","KANGARILLA",13
"521","KANGAROO FLAT",2
"522","KANMANTOO",11
"523","KANNI",1
"524","KANPI",13
"525","KAPUNDA",118
"526","KARCULTABY",1
"527","KAROONDA",13
"528","KARTE",1
"529","KATUNGA",1
"530","KEILIRA",2
"531","KEITH",64
"532","KELLIDIE BAY",2
"533","KELLY",1
"534","KENSINGTON",66
"535","KENSINGTON GARDENS",58
"536","KENSINGTON PARK",57
"537","KENT TOWN",218
"538","KENTON VALLEY",2
"539","KEPA",3
"540","KEPPOCH",2
"541","KERSBROOK",11
"542","KESWICK",70
"543","KESWICK TERMINAL",33
"544","KETTERING",7
"545","KEYNETON",2
"546","KIDMAN PARK",139
"547","KILBURN",1045
"548","KILKENNY",382
"549","KIMBA",20
"550","KINGOONYA",3
"551","KINGS PARK",18
"552","KINGSCOTE",89
"553","KINGSFORD",3
"554","KINGSTON ON MURRAY",6
"555","KINGSTON PARK",22
"556","KINGSTON SE",24
"557","KINGSWOOD",87
"558","KLEMZIG",334
"559","KONGORONG",1
"560","KOOLUNGA",2
"561","KOONIBBA",25
"562","KOONUNGA",1
"563","KOORINE",3
"564","KOOTABERRA",1
"565","KORUNYE",9
"566","KUDLA",33
"567","KUITPO",14
"568","KUITPO COLONY",5
"569","KULPARA",3
"570","KURRALTA PARK",335
"571","KYANCUTTA",1
"572","KYBYBOLITE",2
"573","KYEEMA",2
"574","LAFFER",4
"575","LAKE EACHAM",1
"576","LAKE PLAINS",1
"577","LAMEROO",14
"578","LANGHORNE CREEK",11
